name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany,3628,27574919,13305568138,IN,music,https://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,https://twitter.com/zeemusiccompany
YouTube Spotlight,https://socialblade.com/youtube/c/spotlight,284,27077171,1465538124,US,news,https://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,https://twitter.com/youtube
KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo,125,26546922,16599134166,US,music,https://youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,https://twitter.com/katyperry
EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo,82,26540795,12107361504,US,music,https://youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,https://twitter.com/eminem
RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo,106,26448849,13389845318,US,music,https://youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,https://twitter.com/rihanna
VEGETTA777,https://socialblade.com/youtube/user/vegetta777,4880,24842757,9723788929,ES,games,https://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,https://twitter.com/vegetta777
Shakira,https://socialblade.com/youtube/c/shakira},237,24057534,158714712,CO,people,https://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,https://www.twitter.com/shakira
VanossGaming,https://socialblade.com/youtube/user/vanossgaming,902,23916609,10192522145,CA,games,https://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,https://twitter.com/#!/vanossgaming
Spinnin' Records,https://socialblade.com/youtube/c/spinnin´records,8621,23853273,13815882807,NL,entertainment,https://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA,
Trap Nation,https://socialblade.com/youtube/c/-trapnation,1528,23882643,8300758530,US,music,https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,https://twitter.com/alltrapnation
Smosh,https://socialblade.com/youtube/c/smosh,1024,23765539,7869512644,US,comedy,https://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,https://twitter.com/smosh
OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo,171,23340123,8441301958,GB,music,https://youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,https://twitter.com/onedirection
Bruno Mars,https://socialblade.com/youtube/c/brunomars,67,23242854,9986686905,US,music,https://youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,https://twitter.com/brunomars
Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo,73,22974052,15598679,US,entertainment,https://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,https://twitter.com/luisfonsi
Yuya,https://socialblade.com/youtube/c/-yuya,581,22842924,2329963951,MX,howto,https://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,https://twitter.com/#!/yuyacst
Marshmello,https://socialblade.com/youtube/c/marshmello-music,227,22911431,3989588638,US,music,https://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,https://twitter.com/marshmellomusic
Markiplier,https://socialblade.com/youtube/c/markiplier,4267,22387141,10370151473,US,games,https://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,https://twitter.com/markiplier
Maroon 5,https://socialblade.com/youtube/user/maroon5,150,22191691,217564785,US,music,https://youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,https://www.twitter.com/maroon5
Zee TV,https://socialblade.com/youtube/user/zeetv,57251,21799931,14691849157,IN,entertainment,https://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,https://twitter.com/zeetv
nigahiga,https://socialblade.com/youtube/c/ryanhiga\,346,21297355,3928862237,US,entertainment,https://youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ,https://twitter.com/therealryanhiga
Get Movies,https://socialblade.com/youtube/c/ getmovies,2809,21238865,18025406302,RU,shows,https://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA,https://twitter.com/getmoviesru
Ozuna,https://socialblade.com/youtube/c/ozuna|,58,21208548,10066416132,PR,music,https://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA,https://twitter.com/ozunapr
ChuChu TV Nursery Rhymes &amp; Kids…,https://socialblade.com/youtube/c/chuchutv,268,21052517,15991797534,IN,education,https://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,https://twitter.com/thechuchutv
Luccas Neto,https://socialblade.com/youtube/c/ luccasneto,550,21109162,4636874441,BR,people,https://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,https://twitter.com/luccasnetobr
jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye,3954,20829436,10335546115,IE,games,https://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,https://twitter.com/jack_septic_eye
rezendeevil,https://socialblade.com/youtube/user/rezendeevil,6845,20875135,7220442885,BR,games,https://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,https://twitter.com/rezende_evil
DanTDM,https://socialblade.com/youtube/user/thediamondminecart,2979,20695067,13945405046,GB,games,https://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,https://www.twitter.com/dantdm
[토이푸딩] ToyPudding TV,https://socialblade.com/youtube/user/toypudding,2340,20521143,12665348291,US,entertainment,https://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg,
BRIGHT SIDE,https://socialblade.com/youtube/channel/UC4rlAVgAK0SGk-yTfe48Qpw,1896,20611085,3737982893,,howto,https://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,
Selena Gomez,https://socialblade.com/youtube/c/selenagomez,170,20118208,460089849,US,film,https://youtube.com/channel/UCPNxhDvTcytIdvwXWAm43cA,https://www.twitter.com/selenagomez
Movieclips,https://socialblade.com/youtube/c/movieclipsvideos,30861,20211024,18867859727,US,film,https://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,https://twitter.com/movieclips
Ninja,https://socialblade.com/youtube/c/ninja,792,20084448,1551905654,US,games,https://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,https://twitter.com/ninja
KSI,https://socialblade.com/youtube/c/ksi,1171,19808720,4585826673,GB,entertainment,https://youtube.com/channel/UCVtFOytbRpEvzLjvqGG5gxQ,https://www.twitter.com/#!/ksiolajidebt
Sony Music India,https://socialblade.com/youtube/c/sonymusicindia,2319,20110474,8083873358,IN,music,https://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,https://twitter.com/sonymusicindia
Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa,567,19842090,2288435244,MX,comedy,https://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,https://twitter.com/luisitocomunica
shakiraVEVO,https://socialblade.com/youtube/user/shakiravevo,144,19575722,15128735659,US,music,https://youtube.com/channel/UCGnjeahCJW1AF34HBmQTJ-Q,https://twitter.com/shakira
NoCopyrightSounds,https://socialblade.com/youtube/c/-nocopyrightsounds,555,19563803,5336095833,GB,music,https://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,https://www.twitter.com/ncsounds
Alan Walker,https://socialblade.com/youtube/c/alanwalkermusic,158,19632934,5290215712,NO,music,https://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,https://www.twitter.com/iamalanwalker
WorkpointOfficial,https://socialblade.com/youtube/c/ workpointofficial ,27526,19618763,15645170604,TH,entertainment,https://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg,https://www.twitter.com/workpoint_ent
WatchMojo.com,https://socialblade.com/youtube/c/mojo,72,84,15632,,tech,https://youtube.com/channel/UCQIzjrOGJh4zOSu1gaDgpYw,https://twitter.com/#!/searchmojo
