name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ArkivaShqip,TI BARABARTE UNE,1804,110,2,0,14
ArkivaShqip,EDON - Fjolla (Official Video HD),3009,91,7,0,6
ArkivaShqip,Leonida Marjakaj - Te doja ty (Official Video HD),11209,211,21,0,12
ArkivaShqip,Marin Raja - A moj nanë (Official Video HD),4485,113,3,0,9
ArkivaShqip,Grupi Emracom - Potpuri 2 (Gezuar 2019),23181,360,17,0,20
ArkivaShqip,KMC ft. Aurel Thellimi - Tuman Kuqe (Official Video 4K),31968,307,18,0,7
ArkivaShqip,Vjollca Haxhiu - Nuk je burre (Gezuar 2019),37360,461,26,0,23
ArkivaShqip,Sinan Vllasaliu - Potpuri (Gezuar 2019),5265,53,5,0,6
ArkivaShqip,Meda - Me ke lan ne rruge (Gezuar 2019),89768,1294,45,0,103
ArkivaShqip,Arjoli - Trendafil me gjemba (Official Video HD),8158,222,12,0,16
ArkivaShqip,Grupi Emracom - Potpuri 1 (Gezuar 2019),145324,952,58,0,56
ArkivaShqip,Manii - Papi qulo (Official Video HD),25828,331,148,0,49
ArkivaShqip,"Ardit Koduni - S'te shoh, te ndjej (Official Video HD)",15712,228,19,0,15
ArkivaShqip,Meda - Bablok (Gezuar 2019),365346,3690,151,0,264
ArkivaShqip,Antonio - Habibi (Official Video HD),2364,49,11,0,5
ArkivaShqip,Merita Kyqyku - Xhelozia (Official Video HD),20103,342,40,0,24
ArkivaShqip,All in Band  & Lori Miho - Energji (Kenga Magjike 2018),6140,152,18,0,8
ArkivaShqip,Nimon Mushkolaj - Jemi Shqipet Kuq e Zi (Official Video 4K),50317,1373,44,0,115
ArkivaShqip,Hajrumin Kamberi - Dashnija çka mka bo (Official Video HD),13037,273,27,0,17
ArkivaShqip,G Man - Shqipe (Official Video HD),11543,242,37,0,13
ArkivaShqip,Suad Shaptafi - Trojet tona (Official Video HD),28433,526,25,0,33
ArkivaShqip,Shaban Krasniqi - Me lule te bukura (Official Video HD),6877,61,28,0,3
ArkivaShqip,Anestezion - Monaco (Official Video HD ),76560,1979,87,0,88
ArkivaShqip,Ergys Hyka - Skedina (Official Video HD),72742,1314,93,0,52
ArkivaShqip,Labinot Rexha - Çifti i ri mir se vjen (Official Video HD),13544,503,36,0,10
ArkivaShqip,Demir Zymberaj - Sta fali (Official Video HD),10110,185,31,0,29
ArkivaShqip,Rigersa Zefi - Te kam humb (Kenga Magjike 2018),15488,297,25,0,32
ArkivaShqip,Marko - 4 0 3 (Kenga Magjike 2018),19300,433,40,0,52
ArkivaShqip,Denis Bonjaku - Ti je ajo (Official Video 4K),39893,1160,131,0,73
ArkivaShqip,Pajtesa Tessi - Nje emer nje flamur (Official Video HD),5876,84,11,0,8
ArkivaShqip,Shkurta Selimi - Pike mu bone (Official Video HD),91704,969,41,0,90
ArkivaShqip,Lok Komoni - Me shok (Gezuar 2019),16680,130,21,0,14
ArkivaShqip,RiL ft Dardan - Grüsse (Official Video HD),11190,263,77,0,18
ArkivaShqip,Lindita Gjoka - Ti Ti (Official Video HD),21774,348,45,0,19
ArkivaShqip,GSIIM - About Love (Official Video HD),21042,574,14,0,10
ArkivaShqip,Lori & Korabi & Albina & Dardani - Martohem kete vere (Gezuar 2019),8782,138,11,0,4
ArkivaShqip,Lok Komoni - Bab e nane (Gezuar 2019),8401,74,14,0,2
ArkivaShqip,Ada Luka - Gjith jeten (Official Video HD),31357,672,31,0,34
ArkivaShqip,Labinot Rexha - Kanagjegji (Official Video HD),15187,555,19,0,11
ArkivaShqip,Leunora & Leutrim - Me premto ( Prod. Duo Bass Records ),12303,133,19,0,12
ArkivaShqip,Mirela Deda - Kolazh Jugu (Official Video 4K),13578,175,23,0,10
ArkivaShqip,Meda - Zero Zero (Gezuar 2019),129380,1654,51,0,93
ArkivaShqip,Meda & Yllka Kuqi - Kush je ti (Gezuar 2019),375377,3771,173,0,243
ArkivaShqip,Lori - A me la (Gezuar 2019),47622,496,53,0,37
ArkivaShqip,Eris Binaku - Urime Baca Adem (Official Video HD),3148,66,9,0,8
