name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Warner Music Japan,コブクロ「ALL TIME BEST 1998-2018」,90978,835,21,0,59
Warner Music Japan,chay feat. Crystal Kay「あなたの知らない私たち」Music Video,50738,1099,29,0,50
Warner Music Japan,【初音ミクシンフォニー2018-2019】たいせつなこと【オールキャスト曲】,282872,26674,118,0,1064
Warner Music Japan,バッド・バニー feat. ドレイク「Mia 」【日本語字幕付き】,5914,209,132,0,122
Warner Music Japan,The Winking Owl - Try- (Official Music Video),36033,1428,18,0,88
Warner Music Japan,【コールドプレイ】ドキュメンタリー映画「ア・ヘッド・フル・オブ・ドリームズ」予告編（ロング・バージョン）,10151,154,7,0,14
Warner Music Japan,Clean Bandit アルバム『What Is Love?』11月30日発売！,7400,236,9,0,17
Warner Music Japan,KIRINJI / キリンジ ｰ 20th Anniversary ショートムービー『melancholy mellow』-前篇-,31157,790,25,0,28
Warner Music Japan,chay feat. Crystal Kay「あなたの知らない私たち」サビ視聴動画,16499,368,7,0,18
Warner Music Japan,Cardi B - I Like It [Japan Anime Edtion],15456,469,264,0,144
Warner Music Japan,"The Winking Owl - ""Try"" Official Teaser",6545,257,8,0,15
Warner Music Japan,あいみょん - 今夜このまま【OFFICIAL MUSIC VIDEO】,9589942,88499,1463,0,2964
Warner Music Japan,コブクロ「風をみつめて」,667803,7683,186,0,520
Warner Music Japan,"a crowd of rebellion / Raccoon Dead [from 3rd full album ""Ill""]",6899,156,2,0,6
Warner Music Japan,"a crowd of rebellion / Anemia [from 3rd full album ""Ill""]",5429,174,4,0,18
Warner Music Japan,"a crowd of rebellion / # ペルソナ [from 3rd full album ""Ill""]",9365,215,9,0,15
Warner Music Japan,"a crowd of rebellion / Calling [from 3rd full album ""Ill""]",4553,142,2,0,6
Warner Music Japan,"a crowd of rebellion / 紡冬 [from 3rd full album ""Ill""]",6009,176,11,0,12
Warner Music Japan,"a crowd of rebellion / Interlude -Akinesia- / Colorless [from 3rd full album ""Ill""]",3661,82,3,0,12
Warner Music Japan,"a crowd of rebellion / Noah [from 3rd full album ""Ill""]",3326,106,3,0,3
Warner Music Japan,「souvenir the movie 〜MARIYA TAKEUCHI Theater Live〜 」予告編,87220,429,9,0,42
Warner Music Japan,あいみょん - GOOD NIGHT BABY【OFFICIAL MUSIC VIDEO】,2454723,31852,408,0,1151
Warner Music Japan,コブクロ 20th Anniversary Song「晴々」,605573,8372,141,0,404
Warner Music Japan,トゥエンティ・ワン・パイロッツ 「Levitate 」【日本語字幕付き】,2625,100,9,0,15
Warner Music Japan,トゥエンティ・ワン・パイロッツ 「Nico And The Niners」【日本語字幕付き】,2257,126,13,0,11
Warner Music Japan,藤澤ノリマサ - ポップオペラ名曲アルバム#11「ワインレッドの心」(オリジナル:安全地帯)」,5686,192,16,0,20
Warner Music Japan,奇妙礼太郎「エロい関係」Music Video,148799,3943,49,0,120
Warner Music Japan,トゥエンティ・ワン・パイロッツ 「Jumpsuit」【日本語字幕付き】,4798,171,18,0,19
Warner Music Japan,話題のあのドラマ主題歌！田中芽衣出演MV第2弾！COLOR CREATION 「Blue Star」MV,48652,871,33,0,57
Warner Music Japan,SUGARSOUL『sugar soul＜Remastered＞』ダイジェスト映像,5252,125,10,0,6
Warner Music Japan,あいみょん - 今夜このまま【very short movie】,476104,8253,64,0,245
Warner Music Japan,ルーカス・グラハム「Love Someone / ラヴ・サムワン」【英語・日本語字幕付き】,4472,165,9,0,8
Warner Music Japan,奇妙礼太郎「More Music」アルバムダイジェスト,18538,310,14,0,7
Warner Music Japan,コブクロ - 20th Anniversary Song「晴々」,163283,819,34,0,55
Warner Music Japan,鍵盤男子 「The future of piano –FINAL–」【Official Video】,12657,295,11,0,11
Warner Music Japan,田中芽衣出演のカラクリ新曲MV！テーマカラーは青！COLOR CREATION「I’m Here」MV,293579,1324,45,0,95
Warner Music Japan,WHY DON'T WE × 黒ひげ危機一髪！,21258,1429,18,0,87
Warner Music Japan,坂本龍一　— energy flow,66341,1524,74,0,63
Warner Music Japan,tofubeats「RIVER」,1414426,13440,332,0,498
Warner Music Japan,藤澤ノリマサ -  ポップオペラ名曲アルバム#10「for you...」(オリジナル:高橋真梨子),11211,194,23,0,19
Warner Music Japan,Clean Bandit - Solo feat. Demi Lovato [Japan Edition],5156692,110605,2523,0,4504
Warner Music Japan,tofubeats -「RIVER」（Teaser）,174502,3809,36,0,151
Warner Music Japan,「souvenir the movie 〜MARIYA TAKEUCHI Theater Live〜 」特報映像,50890,426,11,0,26
Warner Music Japan,GOSPELS OF JUDAS「White Moon」Live on 2018.07.15,9171,166,5,0,4
Warner Music Japan,GOSPELS OF JUDAS「Artificial Selection」Live on 2018.07.15,7531,211,8,0,4
Warner Music Japan,GODPELS OF JUDAS 「LIAR〜世界中の哀しみ集めて〜」Live on 2018.07.15,7681,148,5,0,16
Warner Music Japan,Sonar Pocket  30thシングル「君の名前」MV　30秒Ver,13856,278,22,0,17
Warner Music Japan,chay「3人のうた」（Lyric Video）,63142,1490,30,0,86
Warner Music Japan,tofubeats -「RUN」,539334,7229,126,0,347
