name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Christian Figueiredo,ARACNOFOBIA com GUSTA!,36732,6574,54,0,98
Christian Figueiredo,CURANDO O MEDO DE ARANHA!,53281,9127,68,0,118
Christian Figueiredo,CARROS PODEROSOS NOS EUA!,81128,11000,79,0,160
Christian Figueiredo,COMI UMA FORMIGA AFRODISÍACA NA COLÔMBIA!,63020,10295,39,0,141
Christian Figueiredo,QUEM VAI SER O MIERDA DO MÊS?!,64770,11122,47,0,314
Christian Figueiredo,O RAFA TERMINOU O NAMORO?,95458,13583,55,0,131
Christian Figueiredo,MORREU DE SUSTO!,68370,11625,52,0,108
Christian Figueiredo,ELE VOOU PRO TETO!,61321,10200,54,0,90
Christian Figueiredo,GRAVANDO COM A TRUPE 20:07!,112731,19161,63,0,271
Christian Figueiredo,CONFUNDIRAM MINHA NAMORADA!,112363,15572,90,0,152
Christian Figueiredo,NOVA TATTOO!,91506,14313,81,0,144
Christian Figueiredo,FESTINHA DOS 10 MILHÕES!,113446,17553,85,0,296
Christian Figueiredo,PROVANDO QUE VOCÊ PODE!,55958,9630,86,0,116
Christian Figueiredo,OSCAR DA INFLUÊNCIA!,75046,11567,78,0,88
Christian Figueiredo,ME MUDEI?!,149270,19810,191,0,186
Christian Figueiredo,CHEGAMOS EM 10 MILHÕES!!!,70154,13822,85,0,232
Christian Figueiredo,A TRUPE 20:07 ACABOU?!,228172,35438,182,0,485
Christian Figueiredo,ROLÊ DE VIATURA NA ARGENTINA!,124895,17015,112,0,201
Christian Figueiredo,QUEM É O PAI DO ROLÊ?,177896,21985,159,0,246
Christian Figueiredo,VIAGEM EM CASAIS!,156071,21117,139,0,213
Christian Figueiredo,2B BURGUER!,90535,15412,96,0,153
Christian Figueiredo,O OVO QUE MINHA NAMORADA ME DEU!,135244,19847,124,0,184
Christian Figueiredo,TOURO MECÂNICO NA PISCINA!,121250,17111,138,0,252
Christian Figueiredo,DIA DE KART SEM KART!,88531,15118,95,0,154
Christian Figueiredo,ROLEZINHO COM A BREAKMEN!,117536,17944,136,0,251
Christian Figueiredo,GRANDE PRÊMIO DA BREAKMEN!,182199,24440,108,0,273
Christian Figueiredo,UM DIA DE MONTANHAS RUSSAS!,108380,16775,113,0,178
Christian Figueiredo,DEU RUIM EM ORLANDO!,141539,19628,129,0,186
Christian Figueiredo,ÚLTIMO DIA EM PORTUGAL!,184894,20585,174,0,212
Christian Figueiredo,O QUE FALEI NA TV PORTUGUESA?,100355,14897,95,0,299
Christian Figueiredo,NOSSO SHOW NO ROCK IN RIO LISBOA!,100800,14617,181,0,192
Christian Figueiredo,ASSUSTADOS EM PORTUGAL!,102039,15680,92,0,243
Christian Figueiredo,SE PERDENDO EM PORTUGAL!,168010,23984,134,0,631
Christian Figueiredo,GRAVAMOS OUTRO CLIPE!,432579,40962,440,0,620
Christian Figueiredo,ROLOU PRESENTE NO DIA DOS NAMORADOS?,239243,30079,219,0,229
Christian Figueiredo,QUANTOS ANOS O SILVIO SANTOS TEM?,113601,19570,88,0,195
Christian Figueiredo,O PIOR PRESENTE DE TODOS!,124710,20046,102,0,215
Christian Figueiredo,REVELAÇÕES NO PÂNICO!,87871,15327,101,0,223
Christian Figueiredo,ACABOU A GASOLINA!,132034,20872,180,0,458
Christian Figueiredo,VAMOS PRA PORTUGAL!,99539,17766,100,0,536
Christian Figueiredo,MAKING-OF DO NOSSO PRIMEIRO CLIPE!,76202,13089,92,0,255
Christian Figueiredo,ENSAIO PESADÃO!,94045,16783,97,0,229
Christian Figueiredo,"UM BEBÊ , O MAURO E MUITOS PROJETOS!",198426,31775,91,0,274
Christian Figueiredo,PRIMEIRO CLIPE DO PROJETO 2B!,165997,25724,166,0,351
Christian Figueiredo,CASOS DE FAMÍLIA!,148517,26044,124,0,353
Christian Figueiredo,UMA COMPETIÇÃO DE SIMPATIA!,183191,32081,148,0,550
Christian Figueiredo,FECHANDO NOSSA PRIMEIRA MÚSICA!,137720,22507,74,0,294
Christian Figueiredo,FINGIMOS ASSALTAR O PYONG!,173076,27938,168,0,305
Christian Figueiredo,AQUELE BANHO...,189787,31185,154,0,396
Christian Figueiredo,INVADI A MANSÃO DO GUSTA STOCKLER!,896060,60931,2210,0,953
