name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Davy Jones,"O vídeo mais delicioso da internet, CORTANDO SABÃO",142616,31672,464,0,2939
Davy Jones,ARTIGO 13 é o fim da internet,383810,80280,473,0,6757
Davy Jones,ELIMAR GONZALEZ,213575,51951,152,0,1792
Davy Jones,"O melhor vídeo que simboliza o Brasil, nunca vi algo tão PERFEITO",283612,55027,355,0,1943
Davy Jones,"Os MEMES do Brasil estão cada vez melhores, O Brasil Que Deu Certo",317876,59812,225,0,1519
Davy Jones,Os YOUTUBERS estão tudo ficando loucos,257670,51008,272,0,2075
Davy Jones,"Harry P*rra e a Ordem do Pênix, o mais novo FUNK de Harry Potter",310079,60626,364,0,1668
Davy Jones,ZUMBIS EM BRASILIA EP 10 - O FIM DA JORNADA - react,326885,54962,684,0,2684
Davy Jones,Os maiores erros do JORNAL NACIONAL ao vivo,440930,74217,604,0,1312
Davy Jones,"Governo está querendo regulamentar os YOUTUBERS, passaram totalmente dos limites",253527,52384,447,0,3587
Davy Jones,BOLSONARO PRESIDENTE,796815,157863,2528,0,13799
Davy Jones,"O polêmico vídeo do Doria, era FAKE?",219522,35573,302,0,1351
Davy Jones,"O rei da POROROCA, Davy Jones é o vilão? How to Make Memes manda muito",263141,51599,187,0,1019
Davy Jones,"Fizeram um FUNK para o Davy Jones, Mc Maha e as piranhas do caribe",317078,74491,325,0,1922
Davy Jones,"Youtube fora do ar, foi HACKEADO? Melhores memes",306787,63873,275,0,2216
Davy Jones,Davy Jones virou FAKE NEWS de política na Venezuela,707099,132487,889,0,6828
Davy Jones,CABO DACIOLO X CABO DACIOLO,351463,61191,562,0,1915
Davy Jones,"A pior situação de emprego da sua vida, TÁ OK?",282217,44927,260,0,1787
Davy Jones,Os memes de ANIMES mais surreais da internet,274220,49751,451,0,2239
Davy Jones,Os rolês mais aleatórios do RONALDINHO GAÚCHO,323328,59440,239,0,1990
Davy Jones,PIMBA NEWS,218124,53783,243,0,2079
Davy Jones,"Eu amo a internet, os melhores MEMES de Cyberpunk 2077",313512,55869,448,0,1368
Davy Jones,DESAFIO DA PUBERDADE,380835,68613,298,0,2329
Davy Jones,CABO DACIOLO,632788,84869,3178,0,5640
Davy Jones,Zumbis em BRASÍLIA,659357,106661,818,0,4342
Davy Jones,Eu nunca imaginei que isso era POSSÍVEL,305529,48071,248,0,1698
Davy Jones,"Eu não suporto esse meme, é verdade esse BILETE",399962,62857,704,0,2974
Davy Jones,Você moraria em uma CASA mal assombrada?,223213,41213,201,0,1027
Davy Jones,"O ROBÔ CRIANÇA que grita e chora, fiquei apavorado",243412,41536,234,0,2114
Davy Jones,"Os melhores memes do novo IPHONE XS, muito caro?",579718,74311,656,0,2672
Davy Jones,Os candidatos mais engraçados das ELEIÇÕES 2018,359145,57899,324,0,2238
Davy Jones,Você não vai acreditar no que eu encontrei na INTERNET,285071,51118,327,0,1044
Davy Jones,Os ANÚNCIOS de supermercado mais engraçados do Brasil,421243,64580,280,0,1816
Davy Jones,"Português de PORTUGAL, qual meme vai sair desse vídeo?",237196,44905,294,0,2420
Davy Jones,"O incêndio do MUSEU NACIONAL, o Brasil é para poucos",185063,37750,169,0,2565
Davy Jones,BEIJOU o amigo porque pensou que tinha morrido,314823,55718,234,0,2097
Davy Jones,Os candidatos mais engraçados das ELEIÇÕES do Brasil,666768,86081,1048,0,5929
Davy Jones,Você compraria uma meia peluda? As INVENÇÕES mais sem noção da humanidade,299957,52585,266,0,1184
Davy Jones,Os KARMAS mais engraçados da internet,403652,64213,640,0,1634
Davy Jones,"Brasileiro é difícil, as AVALIAÇÕES de APP mais engraçadas",554638,84863,493,0,2423
Davy Jones,"O ser humano é inacreditável, os RECORDES mais incríveis da humanidade",328929,55201,246,0,1430
Davy Jones,Quanto custa o OUTFIT parte 3,666398,89944,680,0,6506
Davy Jones,PAU DE QUEIJO ( ͡° ͜ʖ ͡°),360192,65894,300,0,3045
Davy Jones,"O mundo já está sendo DOMINADO, você só não sabia disso ainda",297480,50247,334,0,1951
Davy Jones,"Eu sou o ANJO mais PODEROSO do mundo, é muito poder",168242,21225,630,0,1025
Davy Jones,"O funk da MOMO, bizarro",213485,36256,476,0,1570
Davy Jones,"Davy Jones, o maluco da COZINHA",244718,42831,248,0,1359
Davy Jones,Os memes do debate para PRESIDENTE do Brasil,525265,74189,1511,0,4223
Davy Jones,"O brasileiro não tem limites, as vendas mais BIZARRAS da internet",509237,72461,919,0,1830
Davy Jones,"Novo funk do NARUTO, muito pesado",443851,71689,768,0,4326
