name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Aditya Movies - Telugu &amp; Hindi,MLA Ka Power Scenes || MLA Ka Power Super Climax Scene || Nandamuri Kalyanram,27563,177,70,0,16
Aditya Movies - Telugu &amp; Hindi,MLA Ka Power Scenes || Kalyan Ram Ravi Kishan Action Scene || Nandamuri Kalyanram,32435,236,39,0,10
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || A Aa Movie Climax Scene | Nithiin, Samantha | A Aa",466908,1575,208,0,52
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Dashing Diljala Climax Scene || Naga Chaitanya,300259,2239,192,0,108
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Samantha Nadhiya Sentiment Scene | Nithiin, Samantha | A Aa",449556,1677,130,0,52
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Fight For Samantha | Nithiin, Samantha | A Aa",596829,2737,272,0,90
Aditya Movies - Telugu &amp; Hindi,MLA Ka Power Scenes || Kalyan Ram Action & Emotional Scene || Nandamuri Kalyanram,20818,147,28,0,13
Aditya Movies - Telugu &amp; Hindi,MLA Ka Power Scenes || Kalyan Ram Interacts With People Scene || Nandamuri Kalyanram,89631,345,37,0,14
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Madonna Sebastian Marriage Scene || Naga Chaitanya,108645,736,83,0,43
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Srinivasa Reddy Comedy Scene || Naga Chaitanya,22211,163,8,0,9
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Action Scene #5 | Nithiin, Samantha | A Aa",52527,230,15,0,8
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Samantha Emotional Scene | Nithiin, Samantha | A Aa",175737,493,45,0,11
Aditya Movies - Telugu &amp; Hindi,MLA Ka Power Scenes || Kalyan Ram Warning To Ravi Kishan Scene || Nandamuri Kalyanram,88152,379,35,0,7
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Action Scene #4 || Nandamuri Kalyanram, Kajal Aggarwal",30539,207,20,0,10
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Madonna Sebastian Engagement Scene || Naga Chaitanya,85964,364,43,0,35
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Madonna Sebastian Love Break Up Scene || Naga Chaitanya,125766,711,52,0,17
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Samantha Nadhiya Emotional Scene | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",207524,553,56,0,4
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Reveal Flash Back Story To Samantha Scene | Nithiin, Samantha | A Aa",239318,976,84,0,36
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Mla Ka Power Hilarious Comedy Scene || Nandamuri Kalyanram, Kajal Aggarwal",184359,610,71,0,4
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Elections Coverage Scene || Nandamuri Kalyanram, Kajal Aggarwal",159090,502,53,0,3
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya & His Friends Bachelor Party Scene || Naga Chaitanya,8630,44,3,0,4
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya & Madonna Sebastian Love Scene || Naga Chaitanya,116107,864,61,0,34
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Samantha Comedy Scene | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",72823,358,35,0,22
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Samantha Comedy Scene #8 | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",666925,2375,208,0,49
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Love Scene #3 || Naga Chaitanya,114419,718,50,0,25
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Shruti Hassan Forgot Naga Chaitanya || Dashing Diljala Heart Breking Scene,134613,836,60,0,44
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Samantha Comedy Scene #7 | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",1524703,6590,489,0,119
Aditya Movies - Telugu &amp; Hindi,"A Aa Emotional Scenes || Nithiin, Samantha || A Aa (Hindi Dubbed Movie)",97871,405,46,0,10
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Prudhvi Raj Comedy Scene #1 || Nandamuri Kalyanram, Kajal Aggarwal",186346,585,49,0,8
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Prudhvi Raj Comedy Scene || Nandamuri Kalyanram, Kajal Aggarwal",254314,838,81,0,15
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Warning Scene || Nandamuri Kalyanram, Kajal Aggarwal",281849,894,76,0,24
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Sruthi Hasan Emotional Love Scene | Naga Chaitanya,165658,881,67,0,20
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Sruthi Hassan Amazing Dance Performance Scene | Naga Chaitanya,451870,1709,1112,0,248
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Samantha Love Scene | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",1142299,5173,443,0,109
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Action Scene #4 | Nithiin, Samantha | Trivikram | A Aa (Hindi Dubbed Movie)",46729,260,17,0,18
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Kajal Love Scene || Nandamuri Kalyanram, Kajal Aggarwal",360678,1306,127,0,33
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kajal Emotional Love Scene || Nandamuri Kalyanram, Kajal Aggarwal",375131,1165,118,0,22
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Samantha Naresh Comedy Scene #6 | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",708393,2377,214,0,54
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Samantha Love Scene | Nithiin, Samantha | Trivikram | A Aa (Hindi Dubbed Movie)",716324,2454,183,0,29
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya & His Friends Funny Dance Class Scene | Naga Chaitanya,44714,287,21,0,15
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Impress Shruti Haasan Scene | Naga Chaitanya,237249,1132,95,0,38
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Action Scene #3 || Nandamuri Kalyanram, Kajal Aggarwal",94012,465,38,0,10
Aditya Movies - Telugu &amp; Hindi,"MLA Ka Power Scenes || Kalyan Ram Ajay Court Scene || Nandamuri Kalyanram, Kajal Aggarwal",6251214,25120,2908,0,402
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Rao Ramesh Warning Scene | Nithiin, Samantha | Trivikram | A Aa (Hindi Dubbed Movie)",185585,361,36,0,8
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Samantha Love Scene | Nithiin, Samantha | A Aa (Hindi Dubbed Movie)",1480473,4750,382,0,86
Aditya Movies - Telugu &amp; Hindi,Dashing Diljala Scenes || Naga Chaitanya Misunderstanding To Shruti Haasan Scene | Naga Chaitanya,149569,542,46,0,8
Aditya Movies - Telugu &amp; Hindi,"Dashing Diljala Scenes || Comedy Scene #3 | Naga Chaitanya, Shruti Hassan",226008,1012,92,0,11
Aditya Movies - Telugu &amp; Hindi,"Dashing Diljala Scenes || Naga Chaitanya Shruti Hassan Love Scene#2 | Naga Chaitanya, Shruti Hassan",415624,1979,245,0,68
Aditya Movies - Telugu &amp; Hindi,"Dashing Diljala Scenes || Naga Chaitanya Shruti Hassan Love Scene#1 | Naga Chaitanya, Shruti Hassan",602815,2845,319,0,112
Aditya Movies - Telugu &amp; Hindi,"A Aa Scenes || Nithiin Action Scene#3 | Nithiin, Samantha | Trivikram | A Aa (Hindi Dubbed Movie)",120777,442,31,0,13
