name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Marcus &amp; Martinus,Marcus & Martinus - Answering questions from fans! (part 1),50130,11212,93,0,1376
Marcus &amp; Martinus,Marcus & Martinus - Our Tik Tok/musically favorites 2017/2018 (part 2),91042,13766,164,0,1207
Marcus &amp; Martinus,"Marcus & Martinus - ""Glød"" festival in Harstad, 2018",122909,15189,127,0,1214
Marcus &amp; Martinus,"Marcus & Martinus - 2Sides Tour with Jason Derulo, MILANO",104972,13133,120,0,923
Marcus &amp; Martinus,"Marcus & Martinus - 2Sides Tour with Jason Derulo 2018, MADRID & BARCELONA",88310,13254,85,0,1091
Marcus &amp; Martinus,Marcus & Martinus - Halloween looks 2018 with @dajanamakeup,262276,18356,254,0,1072
Marcus &amp; Martinus,"Marcus & Martinus - 2Sides tour with Jason Derulo 2018, PARIS",107905,13360,98,0,972
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Madrid&Barcelona, Spain 2018",123409,14606,136,0,1037
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Kristiansand, Norway 2018",106478,12973,127,0,865
Marcus &amp; Martinus,"Marcus & Martinus - Making new music: Behind the scenes, episode 6",96921,12396,100,0,779
Marcus &amp; Martinus,"Marcus & Martinus - Making of new music: Behind the scenes, episode 6 (11+12 on IGTV)",74507,9349,78,0,674
Marcus &amp; Martinus,"Marcus & Martinus - Making of new music: Behind the scenes, episode 5 (9+10 on IGTV)",54846,8198,76,0,569
Marcus &amp; Martinus,"Marcus & Martinus - Making of new music: Behind the scenes, episode 4 (ep. 7+8 on IGTV)",60699,8767,67,0,598
Marcus &amp; Martinus,"Marcus & Martinus - Making new music: Behind the scenes, episode 3 (5+6 on IGTV)",105044,11464,105,0,823
Marcus &amp; Martinus,"Marcus & Martinus - Making new music: Behind the scenes, episode 2 (3+4 on IGTV)",95748,12755,95,0,814
Marcus &amp; Martinus,"Marcus & Martinus - Making new music: Behind the scenes, episode 1 (1+2 on IGTV)",132219,15925,123,0,1092
Marcus &amp; Martinus,Marcus & Martinus - Our Tik Tok/musically favorites 2017/2018! (part 1),150261,17892,177,0,1851
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Trondheim, Norway 2018",158487,17014,158,0,1383
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Bergen, Norway 2018",109678,14371,134,0,1176
Marcus &amp; Martinus,Marcus & Martinus - video to the fans before Moments Tour in Kristiansand,112642,15283,165,0,1885
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Please Don't Go,47056,4165,46,0,260
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Dance With You,32290,4142,33,0,200
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to One Flight Away,35558,5033,42,0,289
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Next To Me,26793,3692,26,0,154
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Make You Believe In Love  (Aron Chupa remix),33223,3964,27,0,182
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Remind Me,34284,5382,35,0,212
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Like it Like it,23433,4350,20,0,128
Marcus &amp; Martinus,Marcus & Martinus- Lyrics to Guitar,25482,3661,22,0,100
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Get To Know Ya,15149,3115,24,0,72
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to First Kiss,30383,5068,28,0,228
Marcus &amp; Martinus,Marcus & Martinus - Lyrics to Never (feat OMI),23509,4231,29,0,113
Marcus &amp; Martinus,Marcus & Martinus - Lyric to Make You Believe in Love,41853,5854,41,0,202
Marcus &amp; Martinus,Marcus & Martinus - Pop up shop in Helsinki (Advertisement for MMstore),114869,14643,229,0,1292
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Halden, Norway 2018",148043,16704,156,0,1323
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Borlänge, Sweden 2018",303845,20494,295,0,1510
Marcus &amp; Martinus,Marcus & Martinus - Athens and MAD Video Music Awards!,277784,19690,258,0,1633
Marcus &amp; Martinus,Marcus & Martinus - Bloopers!,280421,26012,298,0,2436
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour in Kaisaniemi park, Helsinki",251490,22196,208,0,2026
Marcus &amp; Martinus,Marcus & Martinus - Would you rather...?,334389,31675,446,0,2698
Marcus &amp; Martinus,"Marcus & Martinus - Q&A with questions from MMers, part 2!",204074,24862,278,0,2171
Marcus &amp; Martinus,"Marcus & Martinus - Q&A with questions from MMers, part 1",348666,36416,436,0,2988
Marcus &amp; Martinus,Marcus & Martinus - Fan Moments,281423,26136,351,0,2412
Marcus &amp; Martinus,Marcus & Martinus - Rehearsals for Moments Tour,185904,24403,220,0,2239
Marcus &amp; Martinus,Marcus & Martinus - visiting the FIFA museum in Zurich!,173008,20591,227,0,1529
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour, episode 3 (part 2)",967781,31167,1245,0,2733
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour, episode 3 (part 1)",363079,28058,212,0,2254
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour, episode 2!",441918,28266,303,0,2097
Marcus &amp; Martinus,"Marcus & Martinus - Moments Tour, episode 1!",382220,28206,152,0,2006
Marcus &amp; Martinus,Marcus & Martinus - London vlog part 1,256495,30652,236,0,2356
Marcus &amp; Martinus,Marcus & Martinus - #mmexperience videos from the Moments Tour!,207181,19212,246,0,1115
