name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Disney Junior España,Mickey y los Superpilotos: Momentos Mágicos 3: Ep. 35 - Los Beagles | Disney Junior Oficial,18506,70,27,0,0
Disney Junior España,Mickey y los Superpilotos: Momentos Mágicos 3: Ep. 33 - Los Ayudantes Infelices  | Disney Junior,97972,335,168,0,4
Disney Junior España,Muppet Babies enseña y cuenta: Ep. 7 - Gustavo y Peggy enseñan y cuentan | Disney Junior Oficial,7386,57,24,0,2
Disney Junior España,Canta en Inglés – Vampirina: Beautiful Night for a Flight | Disney Junior Oficial,6573,42,27,0,2
Disney Junior España,Vampirina: El Vampichat de Vampirina Ep. 4: Las mascotas perfectas  | Disney Junior Oficial,6515,40,17,0,0
Disney Junior España,Canciones infantiles vol. 2  | Disney Junior Oficial,18309,91,34,0,1
Disney Junior España,Mickey y los Superpilotos: Momentos Mágicos 3: Ep. 34 - El robo de los Goofyperritos  | DJ,87337,222,87,0,1
Disney Junior España,Los cuentos de Minnie: Episodios completos 26-30 | Disney Junior Oficial,922749,2167,844,0,36
Disney Junior España,Bingo y Rolly: Disney Junior Music Party – La Sirena | Disney Junior Oficial,10984,58,20,0,3
Disney Junior España,Vampirina: Momentos Mágicos 3: Ep. 20 - El festival de la Amistad | Disney Junior Oficial,11955,79,21,0,1
Disney Junior España,Muppet Babies enseña y cuenta: Ep. 6 - Animal enseña y cuenta | Disney Junior Oficial,9326,44,21,0,2
Disney Junior España,Cars: La Repetición: Parada en pits con Guido | Disney Junior Oficial,6041,33,17,0,0
Disney Junior España,Vampirina: El Vampichat de Vampirina Ep. 3: La familia de Vampi | Disney Junior Oficial,8312,63,16,0,2
Disney Junior España,Mickey y los Superpilotos: Momentos Mágicos - La fiesta sorpresa de Mickey | Disney Junior Oficial,61345,352,145,0,4
Disney Junior España,Canta en inglés - Mickey y los Superpilotos: Happy Birthday | Disney Junior Oficial,47715,417,182,0,4
Disney Junior España,Mickey y los Superpilotos: Disney Junior Music Party – 'No hace falta más'' | Disney Junior Oficial,21450,104,46,0,1
Disney Junior España,"Vampirina: Disney Junior Music Party – ''Nosfe, empieza a dormir'' | Disney Junior Oficial",11745,59,23,0,1
Disney Junior España,Mickey y los Superpilotos: Momentos Mágicos - Rivales en la carrera | Disney Junior Oficial,100207,260,100,0,1
Disney Junior España,Vampirina: El Vampichat de Vampirina Ep. 2: Poppy y Bridget | Disney Junior Oficial,13055,32,15,0,0
Disney Junior España,Miles del Futuro: Misión Force One Conectar y Proteger: Ep. 6 - Trampa de arena | Disney Junior,4513,32,20,0,0
Disney Junior España,Bingo y Rolly: Momentos Mágicos - Diversión en la granja | Disney Junior Oficial,44884,110,46,0,2
Disney Junior España,PJ Masks Cortos Ep. 12: Superhéroes cantantes | Disney Junior Oficial,14388,55,28,0,0
Disney Junior España,Vampirina: Momentos Mágicos - La receta de la Vampinana | Disney Junior Oficial,25782,69,18,0,2
Disney Junior España,PJ Masks Cortos Ep. 11: Gekko improvisa | Disney Junior Oficial,9309,35,15,0,1
Disney Junior España,"Muppet Babies: Canciones Infantiles: Ep. 13 - Un, dos, el zapato me ato yo | Disney Junior Oficial",6728,30,20,0,3
Disney Junior España,Muppet Babies enseña y cuenta: Ep. 5 - Summer enseña y cuenta | Disney Junior Oficial,14913,70,26,0,1
Disney Junior España,Cars: La Repetición: Corriendo sobre tierra | Disney Junior Oficial,7466,45,14,0,1
Disney Junior España,Mickey y los Superpilotos:Las locas aventuras de Chip y Chop:Caos en el Día de la Minnie Muffin | DJ,62720,195,76,0,1
Disney Junior España,Muppet Babies enseña y cuenta: Ep. 4 - Gonzo enseña y cuenta | Disney Junior Oficial,11149,39,20,0,0
