name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Новий Канал,Топ-модель по-украински. Выпуск 14. 2 сезон. 30.11.2018,502490,7064,817,0,2489
Новий Канал,Киев днем и ночью - Серия 48 - Сезон 5,108137,1111,111,0,250
Новий Канал,Онлайн-конференция с Максом Осадчуком,35567,370,85,0,124
Новий Канал,Киев днем и ночью - Серия 47 - Сезон 5,253563,2257,171,0,339
Новий Канал,Хто зверху? Выпуск 14. Раунд 1. Руки - ноги. Какая команда быстрее.  Сезон 8,14051,68,7,0,10
Новий Канал,Хто зверху? Выпуск 14. Раунд 2. Показуха. Сезон 8,16735,73,3,0,6
Новий Канал,Хто зверху? Выпуск 14. Раунд 3. Пять слов? Сезон 8,16795,79,7,0,5
Новий Канал,Хто зверху? Выпуск 14. Раунд 4. Кто я. Сезон 8,16808,73,10,0,2
Новий Канал,Хто зверху? Выпуск 14. Раунд 5. Обмен ролями. Сезон 8,16854,93,8,0,6
Новий Канал,Хто зверху? Выпуск 14. Раунд 6. О ком это? Сезон 8,15812,53,5,0,2
Новий Канал,Хто зверху? Выпуск 14. Раунд 7. Стеклянная доска. Наталка Карпа и Денис Беринчик. Сезон 8,11283,33,10,0,2
Новий Канал,Хто зверху? Выпуск 14. Финал. Пульни с рогатки. Сезон 8,10636,55,6,0,3
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 16,218841,2772,247,0,407
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 15,306986,2912,253,0,357
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 14,348030,2963,278,0,526
Новий Канал,Эксы - Сезон 1 - Выпуск 5,161016,1283,183,0,475
Новий Канал,Киев днем и ночью - Серия 46 - Сезон 5,298989,2541,226,0,305
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 13,392851,3187,321,0,669
Новий Канал,Киев днем и ночью - Серия 45 - Сезон 5,342668,2956,207,0,355
Новий Канал,Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018,131361,1249,94,0,70
Новий Канал,Вчителька ділиться мудрістю з колегою - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,5812,76,2,0,1
Новий Канал,Монолог: українська родина як маленька країні - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,1778,25,4,0,3
Новий Канал,Бюджетна відпустка на природі - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,7171,86,7,0,3
Новий Канал,І хто це тобі пише у ночі? - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,2432,29,4,0,0
Новий Канал,Як обрати собі чоловіка? - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,1246,18,0,0,0
Новий Канал,Жіночі посиденьки за кавою - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,12446,171,12,0,6
Новий Канал,Дискотека в селі - як фільм Вій - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,2558,31,11,0,1
Новий Канал,Муки вибору - дитяча коляска - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,1366,18,4,0,3
Новий Канал,Ревізія в колгоспі - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,26963,240,18,0,6
Новий Канал,Хлопець вирішив освідчитися дівчині - Вар'яти (Варьяты) - Сезон 3. Випуск 5 - 27.11.2018.,11801,155,7,0,1
Новий Канал,Полезные упражнения и конфеты под подушкой: Влог Егора Степаненко,36661,811,79,0,114
Новий Канал,Хочешь выиграть поход в кино с Альбиной? - Киев днем и ночью,29596,682,58,0,216
Новий Канал,Топ-модель по-украински. Выпуск 13. 2 сезон. 23.11.2018,1316712,12810,1939,0,4193
Новий Канал,Заробітчани - Индонезия - Выпуск 31 - 24.11.2018,9036,63,10,0,14
Новий Канал,Заробітчани - Нидерланды - Выпуск 32 - 24.11.2018,12110,80,6,0,23
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 12,485678,3254,315,0,645
Новий Канал,Киев днем и ночью - Серия 44 - Сезон 5,414919,3525,265,0,661
Новий Канал,Выпуск 13. Backstage. На Хто зверху? Олег Скрипка воспел силу украинок! Сезон 8,25188,167,12,0,26
Новий Канал,Пацанки. Новая жизнь - Сезон 2 - Серия 11,379415,2978,322,0,710
Новий Канал,Киев днем и ночью - Серия 43 - Сезон 5,388929,3094,243,0,320
Новий Канал,Хто зверху? Выпуск 13. Финал. Фокус со скатертью. Сезон 8,38467,285,4,0,12
Новий Канал,Хто зверху? Выпуск 13. Раунд 7. Стеклянная доска. Анна Саливанчук и Тимур Мирошниченко. Сезон 8,37657,142,11,0,4
Новий Канал,Хто зверху? Выпуск 13. Раунд 6. О ком это? Сезон 8,47522,167,13,0,7
Новий Канал,Хто зверху? Выпуск 13. Раунд 5. Обмен ролями. Сезон 8,83023,507,49,0,19
Новий Канал,Хто зверху? Выпуск 13. Раунд 4. Кто я. Сезон 8,59536,257,24,0,6
Новий Канал,Хто зверху? Выпуск 13. Раунд 3. Пять слов? Сезон 8,61953,258,20,0,13
Новий Канал,Хто зверху? Выпуск 13. Раунд 2. По губам. Сезон 8,50660,206,15,0,6
Новий Канал,Хто зверху? Выпуск 13. Раунд 1. Руки - ноги. Какая команда быстрее.  Сезон 8,39794,162,10,0,13
Новий Канал,Эксы - Сезон 1 - Выпуск 4,574834,3090,324,0,695
Новий Канал,Киев днем и ночью - Серия 42 - Сезон 5,396456,3524,271,0,451
