name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Carl &amp; Jinger Family,RC CARS vs ORBEEZ SLIME!!,66751,1432,57,0,353
Carl &amp; Jinger Family,Cyber Spy Security Mystery Box Girls vs Boys Escape Room Challenge!,288410,5098,439,0,730
Carl &amp; Jinger Family,Family Twin Telepathy Candy Challenge vs Mom! 🍬🔮,208483,3163,157,0,783
Carl &amp; Jinger Family,Cyber Spy Security Mystery Box Capture Escape Room Challenge!,1149359,19983,1311,0,2425
Carl &amp; Jinger Family,Mystery Clues Found Exploring Abandoned House! We Found A Secret Cassette!,198625,2482,124,0,442
Carl &amp; Jinger Family,Help Me Search! Exploring Abandoned Buildings Looking for Missing Clues Jingerrific!,181438,2673,107,0,646
Carl &amp; Jinger Family,Jingerrific Missing?! Strange Phone Call From Mystery Cyber Spy Gadget Abandoned Phone!!,387731,3899,225,0,2314
Carl &amp; Jinger Family,Mystery Clues Found Exploring Abandoned Cave! What's Inside Mystery Box?!,647292,6036,313,0,2856
Carl &amp; Jinger Family,Tricked by Game Master Secret Phone Call Mystery Missing Evidence Project Zorgo Full Movie Part 3,382194,3639,205,0,1574
Carl &amp; Jinger Family,Hello Neighbor Cyber Spy Challenge in the Dark with Sharer Fam!!,4497576,32672,2467,0,11364
Carl &amp; Jinger Family,Try Not To Sink the World's Biggest First Swimming Pool Pumpkin Patch Boat!,164025,2979,93,0,1118
Carl &amp; Jinger Family,GIANT PUMPKIN SCUBA DIVING Helmet Underwater Breathing Device!!,133455,1912,92,0,297
Carl &amp; Jinger Family,Pumpkins in the Swimming Pool! Filling my Pool with Pumpkins What Happens?!,204212,3477,159,0,625
Carl &amp; Jinger Family,Welcome to Carl and Jinger Family! Every Day is a New Day so Let's Make it An Awesome One!,142433,2085,125,0,312
Carl &amp; Jinger Family,Longest Giant Magic Tracks Toy Car Chase Over Hot Tub!,336715,5632,222,0,634
Carl &amp; Jinger Family,Family Mystery Telepathy Challenge! Can We Read Each Other's Minds?!,289653,5954,213,0,352
Carl &amp; Jinger Family,Mystery Toys Twin Telepathy Box Fort Mind Reading Challenge!,393103,4439,218,0,473
Carl &amp; Jinger Family,24 Hour Giant Box Fort Mystery Escape Room Surprise on Mom & Dad!,2683768,16410,1379,0,1187
Carl &amp; Jinger Family,Mystery Missing Evidence! Did the Game Master or Project Zorgo take our Clues?,1024818,16646,578,0,2525
Carl &amp; Jinger Family,Found Game Master Secret Spy Gadget Abandoned Mystery Safe and Explored Hidden Location!,486623,3666,241,0,904
Carl &amp; Jinger Family,Discovering Clues Investigating Mystery Abandoned Safe Carl and Jinger Movie Part 2!,432103,5107,259,0,822
Carl &amp; Jinger Family,Exploring Secret Mysteries Looking for Game Master Project Zorgo Pond Monster Clues!!,454142,6462,304,0,880
Carl &amp; Jinger Family,Exploring Project Zorgo Mysterious Abandoned Building Game Master Clues Found!!,714486,5370,350,0,2118
Carl &amp; Jinger Family,Tricked by Game Master Secret Phone Call - Exploring Mystery Mansion!!,1316087,8851,658,0,2202
Carl &amp; Jinger Family,24 Hours Giant Box Fort Mystery Escape Room Surprise!,1713116,16707,1025,0,1150
Carl &amp; Jinger Family,Mystery Hacker Camera Investigation! What's Inside Abandoned Game Master Mystery Box?!,464460,6981,264,0,1411
Carl &amp; Jinger Family,RC Car Drive Across Swimming Pool Adventure!!,259622,2391,171,0,680
Carl &amp; Jinger Family,Digging Into the Mystery Safe! Game Master Device What's Inside?!,799184,7844,456,0,3707
Carl &amp; Jinger Family,Hacked by Game Master Breaking Into Abandoned Mystery Safe?!,920331,8488,512,0,2067
Carl &amp; Jinger Family,Breaking Open Mystery Abandoned Safe and Mystery Box Clues Found!!,708381,9033,359,0,1479
Carl &amp; Jinger Family,Mystery Minecraft Box Fort Back to School Adventure In Real Life!,2768367,37957,1890,0,1454
Carl &amp; Jinger Family,MYSTERY WHEEL OF NINTENDO CHALLENGE!,990571,7328,415,0,1579
Carl &amp; Jinger Family,Finding a Mystery Box and Abandoned Safe Clues Revealed!,469895,5580,252,0,820
Carl &amp; Jinger Family,Secret Neighbor Hello Neighbor Challenge in the Dark!!,3339599,16929,1307,0,3580
Carl &amp; Jinger Family,Exploring Abandoned Mystery Waterfall Underground Cave Tunnel!!,873215,10663,475,0,2260
Carl &amp; Jinger Family,GIANT DRY ICE BALLOONS UNDERWATER! What Happens?!,856976,7548,533,0,1498
Carl &amp; Jinger Family,Investigating Mystery Abandoned Safe for Lost Secret Clues!,1445422,11397,635,0,4596
Carl &amp; Jinger Family,GIANT Water Blob Swimming Pool Launcher vs Carter Sharer!,1235483,15103,694,0,1408
Carl &amp; Jinger Family,Breaking Open Mystery Abandoned Safe!!,1749964,19006,1094,0,3110
Carl &amp; Jinger Family,Mystery Box Fort Water Slide Giant Backyard Waterpark Box Fort Challenge!,1640499,9838,662,0,1329
Carl &amp; Jinger Family,What's Inside Abandoned Underground Box?! Mystery Chain Pull Secret Revealed!,1833218,34479,1089,0,7907
Carl &amp; Jinger Family,24 Hours Exploring Mystery Hidden Crawl Space with Found Secret Conspiracy Cassette!,1330853,19711,703,0,7682
Carl &amp; Jinger Family,FOUND Secret Mystery Abandoned Cassette Time Capsule Inside Our Spooky Basement?!,815381,12208,436,0,1097
Carl &amp; Jinger Family,Hello Neighbor Box Fort in the Dark Challenge!!,1328851,10315,563,0,2172
Carl &amp; Jinger Family,World's Biggest Giant 8ft Water Balloon Waterslide Challenge!!,994244,17900,593,0,1151
Carl &amp; Jinger Family,DONT DROP the Watermelon from 45FT onto the Mystery Pond Monster!!,1608011,18993,901,0,2594
Carl &amp; Jinger Family,Try Not To Pop A Giant 8ft Water Balloon Underwater Swimming Pool!,316941,4579,192,0,1224
Carl &amp; Jinger Family,Exploring Our Secret Spooky Hidden Attic!! Abandoned Secret Lair!,376420,8761,237,0,726
Carl &amp; Jinger Family,24 Hours Handcuffed To My Dad Challenge!,1747024,11092,783,0,3817
Carl &amp; Jinger Family,Giant 6 Foot Orbeez Water Balloon Blob Super Wubble Bubble vs My Pool!,520187,4972,269,0,573
