name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Anne-Marie,Anne-Marie - Perfect To Me [Official Acoustic Audio],210004,16460,154,0,1291
Anne-Marie,Karate with Anne-Marie [Episode 7],72883,4989,62,0,538
Anne-Marie,Karate with Anne-Marie [Episode 6: Jamie Laing],90036,4787,71,0,452
Anne-Marie,Anne-Marie & James Arthur - Rewrite The Stars [from The Greatest Showman: Reimagined],44961870,958865,20852,0,30087
Anne-Marie,Karate with Anne-Marie [Episode 5: Olly Murs],144166,7805,104,0,610
Anne-Marie,Anne-Marie - Perfect To Me [Official Music Video],7694955,337516,3052,0,14501
Anne-Marie,Karate with Anne-Marie [Episode 4],105062,7407,99,0,630
Anne-Marie,Anne-Marie - Perfect To Me [Official Lyric Video],5327920,161316,1368,0,5509
Anne-Marie,Karate with Anne-Marie [Episode 3: Roman Kemp],155768,7833,123,0,602
Anne-Marie,Karate with Anne-Marie [Episode 2: The Vamps],334264,17991,170,0,1009
Anne-Marie,Karate with Anne-Marie [Episode 1],276189,14124,179,0,1046
Anne-Marie,Anne-Marie - 2002 (Live At Brighton Music Hall 2018),5665141,132319,1071,0,5410
Anne-Marie,Anne-Marie - European 2018 Tour Diary,285419,13849,95,0,1160
Anne-Marie,Anne-Marie - 2002 (Saweetie & Ms. Banks Remix) [Official Audio],365458,13116,299,0,1177
Anne-Marie,AnneMarie - 2002 [Fan Covers Mashup],862859,46036,529,0,3845
Anne-Marie,Anne-Marie & Ed Sheeran – 2002 [Official Acoustic Video],39543314,863821,11730,0,34843
Anne-Marie,Anne-Marie - SPEAK YOUR MIND 2018 North American Tour,130027,7950,53,0,814
Anne-Marie,Anne-Marie - 2002 Jay Pryor remix [Official Audio],251619,9620,131,0,687
Anne-Marie,Anne-Marie - 2002 (KREAM remix) [Official Audio],106526,3784,104,0,264
Anne-Marie,Anne-Marie - 2002 (BKAYE Remix) [Official Audio],92237,5049,68,0,392
Anne-Marie,Marshmello & Anne-Marie - FRIENDS (Acoustic),517325,26354,444,0,1459
Anne-Marie,Anne-Marie - 2002 [Official Video],219040938,1373154,41058,0,52244
Anne-Marie,Anne-Marie - European Tour Diary [pt2],158256,6839,62,0,562
Anne-Marie,Anne-Marie - Speak Your Mind Karaoke Party,132693,7575,56,0,394
Anne-Marie,Anne-Marie - European Tour Diary [Part1],131451,6763,83,0,551
Anne-Marie,Anne-Marie - 2002 [Official Lyric Video],35205166,489136,7505,0,22315
Anne-Marie,Anne-Marie UK & Ireland 2018 Tour Diary,85096,5014,59,0,627
Anne-Marie,Anne-Marie - The #FRIENDSCHALLENGE With Beanie,307634,14089,235,0,877
Anne-Marie,Anne-Marie - 1 MILLION SUBSCRIBERS!! A special thank you vid to everyone....❤,290626,22055,179,0,2534
Anne-Marie,Marshmello & Anne-Marie - FRIENDS [Alternative Music Video],99327258,1252784,28080,0,45951
Anne-Marie,Anne-Marie - Then [Live Acoustic],3716237,59651,599,0,2095
Anne-Marie,Anne-Marie - Then [Official Lyric Video],13383607,142909,2280,0,2364
Anne-Marie,Anne-Marie - Then [Official Audio],8751290,81635,1429,0,1682
Anne-Marie,Anne Marie - End The Silence Music Memory,69858,2154,53,0,139
Anne-Marie,Anne-Marie - Heavyoke,97214,3079,46,0,169
Anne-Marie,Closer with Anne-Marie | An Optus Original series,464817,11135,149,0,828
Anne-Marie,Anne-Marie - Heavy [Acoustic],157405,5856,57,0,288
Anne-Marie,Anne-Marie - Heavy [Official Video],11604537,136785,2256,0,3839
Anne-Marie,Anne-Marie - Tour Announcement,41936,1915,36,0,230
Anne-Marie,Anne-Marie - On the Ed Sheeran Tour [UK & Ireland Diary],109298,3284,64,0,247
Anne-Marie,Anne-Marie - On the Ed Sheeran Tour [European Tour Diary],681355,12659,195,0,626
Anne-Marie,Anne-Marie & Ed Sheeran - Ciao Adios [Acoustic],27845129,407616,5310,0,8969
Anne-Marie,Anne-Marie - Ciao Adios [Acoustic Dressing Room Vibes],2497082,55558,592,0,1385
Anne-Marie,Anne-Marie - Ciao Adios [TRACK CHAT],202145,4466,64,0,315
Anne-Marie,Anne-Marie - Ciao Adios [Behind The Scenes],560734,11101,143,0,593
Anne-Marie,Anne-Marie - Ciao Adios [Official Video],184483242,1381711,35837,0,51645
Anne-Marie,Anne-Marie - Peak | BRITs 2017 Critics’ Choice,372015,6594,89,0,292
Anne-Marie,Anne-Marie - Alarm | BRITs 2017 Critics’ Choice,128304,3553,37,0,105
Anne-Marie,Anne-Marie - Peak (Stripped) [Official Audio],2014832,22269,381,0,575
Anne-Marie,Anne-Marie - Alarm [Live from MTV EMAs 2016],660250,13630,93,0,414
