name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
FAZE TEEQO \ JAKOB,SPIN THE WHEEL *PAIN* ROULETTE CHALLENGE *FaZe vs HOT WAX*,34083,4003,39,0,256
FAZE TEEQO \ JAKOB,MOVE IN WITH US AGAIN FAZE APEX,57536,4013,39,0,286
FAZE TEEQO \ JAKOB,Fortnite sent us a REAL CHEST! *WHAT’S INSIDE?*,55551,3028,61,0,218
FAZE TEEQO \ JAKOB,We PRANKED our ROOMMATE AGAIN! *He was NOT happy*,104894,6479,96,0,406
FAZE TEEQO \ JAKOB,FILLING ROOM WITH M&M'S PRANK ON ROOMMATE,137889,8000,180,0,844
FAZE TEEQO \ JAKOB,MEET SWEDEN’s NEW Basketball PRO,39659,2871,29,0,346
FAZE TEEQO \ JAKOB,Sky HUMPED NORDAN HAHA,69956,4229,118,0,563
FAZE TEEQO \ JAKOB,We have to MOVE OUT soon & it sucks...,124863,6657,125,0,721
FAZE TEEQO \ JAKOB,SWEDISH TROLLING FaZe ROOMMATES! *AWKWARD VLOG RETURN*,84717,4820,51,0,626
FAZE TEEQO \ JAKOB,I came home to see THIS in our community,189593,6795,149,0,435
FAZE TEEQO \ JAKOB,FaZe REAL LIFE Fortnite! SCAR vs BOLT SNIPER,157396,5593,97,0,332
FAZE TEEQO \ JAKOB,WHY I didn't drive the TESLA,320597,11980,163,0,659
FAZE TEEQO \ JAKOB,Going BACK in California WILD FIRE! FaZe Evacuation Vlog #2,944254,24564,629,0,1557
FAZE TEEQO \ JAKOB,FaZe House California WILD FIRE EVACUATION!,1707341,43336,2040,0,6376
FAZE TEEQO \ JAKOB,"NEVER doing this again... A day at the FaZe House Vlog w/ Teeqo, Rain & Blaze",74093,4304,25,0,348
FAZE TEEQO \ JAKOB,Fortnite CUBE Kevin EXPLOSION *NEW MAP* LIVE Reaction w/ FaZe Teeqo & FaZe Rain,73692,3257,66,0,243
FAZE TEEQO \ JAKOB,I'm quitting Youtube to play PRO Fortnite for FaZe,125931,6466,438,0,642
FAZE TEEQO \ JAKOB,FaZe Jason IF YOU WIN Fortnite = $1000 FLIGHT to FaZe House CALIFORNIA,86323,5290,40,0,243
FAZE TEEQO \ JAKOB,VAP3 LORD NORD RETURNS! CALLING OUT FaZe Apex,201097,9021,110,0,468
FAZE TEEQO \ JAKOB,WHAT'S in the BOX!? I’m being trolled...,55370,3641,56,0,209
FAZE TEEQO \ JAKOB,ISSA FaZe Taco,79501,6279,41,0,667
FAZE TEEQO \ JAKOB,Our DOG RAN AWAY! I had to CHASE after Sky,81955,6761,48,0,485
FAZE TEEQO \ JAKOB,We got pulled over,133184,6790,83,0,584
FAZE TEEQO \ JAKOB,"The best morning ever w/ FaZe Rain, FaZe Blaze & Sky",82849,5663,37,0,624
FAZE TEEQO \ JAKOB,How could THIS happen!? Nordan was NOT happy...,184723,7439,86,0,439
FAZE TEEQO \ JAKOB,FIRST day of the ''NEW'' FaZe House w/ FaZe Rain & FaZe Blaze,355607,12847,224,0,1081
FAZE TEEQO \ JAKOB,"FaZe Teeqo GAMING ROOM - Fortnite & CS:GO SETTINGS, KEYBINDS, SENSITIVITY & CROSSHAIR!",103605,4727,58,0,478
FAZE TEEQO \ JAKOB,FaZe Teeqo & FaZe Niko FULL CS:GO GAME | BEST PLAYER in the WORLD!,127690,7300,113,0,664
FAZE TEEQO \ JAKOB,This really happened on my FIRST CS:GO GAME in 1 year [Full Gameplay],137084,16108,172,0,676
FAZE TEEQO \ JAKOB,My RETURN to CS:GO... IT'S BEEN 1 YEAR!,205237,15549,276,0,1807
FAZE TEEQO \ JAKOB,FaZe vs YOUNGEST Fortnite PROS! [THEY’RE 14],2143370,24411,1178,0,3097
FAZE TEEQO \ JAKOB,Why you should never leave a Fortnite game early... [SEASON 6],75165,4084,64,0,380
FAZE TEEQO \ JAKOB,This is why I threw my PC in the pool...,104939,5492,230,0,446
FAZE TEEQO \ JAKOB,I’m never making that mistake again,95957,6842,163,0,468
FAZE TEEQO \ JAKOB,FaZe Teeqo NEW Gaming Setup IN USA!? PC Black Ops 4 'BLACKOUT',226264,9173,119,0,1504
FAZE TEEQO \ JAKOB,I have something to tell you guys,102447,6394,273,0,618
FAZE TEEQO \ JAKOB,FaZe Teeqo w/ FaZe CS:GO PRO TEAM @ ECS LONDON,73906,2983,32,0,265
FAZE TEEQO \ JAKOB,The Untold TRUTH Of SWATTING at the FaZe Houses,232823,10943,220,0,593
FAZE TEEQO \ JAKOB,"We went to Norway for THIS... w/ FaZe Adapt, Banks, Ricegum, Temperrr & Lil Yachty!",163185,7716,82,0,585
FAZE TEEQO \ JAKOB,"MY GAMING SETUP IN SWEDEN... BUT, they sent me a BROKEN PC!",337083,13376,199,0,1107
FAZE TEEQO \ JAKOB,"The Reason we don't live together anymore, WHAT happened to the LA FaZe House",610828,24226,537,0,3103
