name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Ghar Grihasti,एक बार ये चीज रात को लगाएंगे तो ढीले लटकते स्तन बॉल जैसे गोल और टाइट हो जायेंगे Stan Tight Kare,26129,476,47,0,56
Ghar Grihasti,"Simple Mehndi Design for Beginners, Mehndi designs for hands ,Henna mehndi designs for hands,मेहंदी",45805,348,49,0,32
Ghar Grihasti,गाजर के हलवे का भी स्वाद भुला दे ऐसी है ये जबरदस्त recipe सिर्फ 10 मिनट में तैयार,7850,130,15,0,15
Ghar Grihasti,"मै कौन हूँ कहाँ रहती हूँ जानिए सभी सवालों के जवाबMy Daily Routine,Indian vlogger,GharGrihasti Vlog#1",13067,424,28,0,230
Ghar Grihasti,"बस ये एक सामग्री मिलाये और आलू के पराठे का स्वाद सो गुना बढ़ायेDhaba Style Aloo Paratha,Nashta recipe",14348,335,40,0,42
Ghar Grihasti,रोज़ रात को सिर्फ ये एक चीज लगा लो और चेहरा ही नहीं पूरा शरीर गोरा बना लो चमत्कारी नुस्खा,26288,399,42,0,51
Ghar Grihasti,जब एक बार बनाओगे ये दाल मखनी तो कहोगे अब ढाबे रेस्टोरेंट की नहीं चखनी Dal Makhani Recipe in Hindi,17376,378,20,0,26
Ghar Grihasti,मेहंदी में ये चीजे मिलाये और सफ़ेद बालों को हमेशा के लिए काला करे । Safed Balon Ka Ilaj,58617,1112,100,0,113
Ghar Grihasti,एलोवेरा जेल में ये मिलाकर लगाए और एक ही रात में फटी एड़ियों से छुटकारा पाए  Cracked Heels Home Remedy,60786,1038,68,0,66
Ghar Grihasti,हलवाई वाले आलू मथुरा वाले आलू सब भूल जाओ बस एक बार मेरे तरीके से बनाओ सबकी तारीफ पाओ Aloo ki sabji,19835,366,37,0,31
Ghar Grihasti,मेथी की पूरी पराठा सब भूल जायेंगे जब ये नयी तरह की मेथी पूरी बनाएंगे No कड़वाहट Easy Nashta recipe,24609,499,38,0,25
Ghar Grihasti,"Deepika Ranveer Wedding Photos,Deepika Ranveer Marriage,Ranveer and Deepika wedding,Deepveer wedding",810582,3110,1281,0,391
Ghar Grihasti,दूध सा गोरा चेहरा चाहिए तो हर रात इसे जरूर लगाइये एक बार लगाया तो महँगी क्रीम पार्लर सब भूल जाओगे,50170,1005,89,0,115
Ghar Grihasti,रात में 2 मिनट इसे लगालो चेहरा बेहद गोरा जवान और मुलायम बना देगा /Gora Hone Ka Tarika /Dark Spots,48834,939,70,0,62
Ghar Grihasti,"ये  बेहद करारे कोकोनट फ्लेवर बिस्किट खाएंगे तो मार्किट के बिस्किट भूल जायेंगेThekua Recipe,khajuriya",12683,201,15,0,19
Ghar Grihasti,गोरा चेहरा चाहिए या फटी एड़ियां और रूखे सूखे हाथ पैर हैं इसे बस दिन में दो बार लगाए पार्लर भूल जाये,65251,1718,102,0,111
Ghar Grihasti,"Happy Diwali 2018- Diwali wishes, Diwali whatsapp video message,Deepawali greetings-Facebook message",162128,253,72,0,12
Ghar Grihasti,न मैदा न आटा इस दिवाली बनाये ये जबरदस्त क्रिस्पी मठरी बाजार से लाना भूल जायेंगे,54983,930,62,0,42
Ghar Grihasti,कुकर में झटपट बनने वाली इस सब्जी में ऐसा क्या है की सबकी भूख बढ़ जाती है Aloo Ki Sabji,15453,264,36,0,21
Ghar Grihasti,गोभी के पराठे बनाइये एकदम नए तरीके से जबरदस्त तरीका काश पहले पता होता,57935,695,78,0,44
Ghar Grihasti,"Happy Diwali 2018- Diwali wishes, Diwali whatsapp video message,Deepawali greetings-Facebook message",42725,142,32,0,10
Ghar Grihasti,"पूरियों के आटे में मिला दे बस ये एक चीज बनेगी मक्खन सी मुलायम और फूली फूली,मुलायम पूरी बनाने की विधि",20343,346,33,0,39
Ghar Grihasti,इस दिवाली पुरानी बोतल से बनाये कुछ ऐसा की सब देखते रह जाएँ Diwali Decoration at Home,18299,246,33,0,17
Ghar Grihasti,इस दिवाली बनाये ये जबरदस्त क्रिस्पी पिज़्ज़ा फ्लेवर मठरी बाजार से लाना भूल जायेंगे,24402,429,39,0,21
Ghar Grihasti,इस दिवाली चुटकी बजाते ही नल टाइल्स पानी के निशान सब हटाने की नई तरकीब आप भी कहेंगे काश पहले पता होती,38851,655,48,0,36
Ghar Grihasti,"इस दिवाली चुटकियों में चमकाए घर को बिना रगड़े काम खर्चे में नई ट्रिक Diwali cleaning tips, cleaning",26811,667,52,0,41
Ghar Grihasti,दिवाली की सफाई में मकड़ी के जाले अगर है सरदर्द तो देखे ये जबरदस्त उपाय Diwali cleaning tips,14355,246,41,0,19
Ghar Grihasti,इस दिवाली चुटकी बजाते ही बाथरूम किचन फर्श घर चमकाने की एकदम नई तरकीब आप भी कहेंगे काश पहले पता होती,1165002,8792,1946,0,180
Ghar Grihasti,"रोज़ाना इसे लगाएंगे चाँद से भी ज्यादा चमक जायेंगे पार्लर भूल जायेंगे Gora hone ka tarika,Face Pack",252614,3409,277,0,221
Ghar Grihasti,नवरात्री कन्या पूजन के लिए 1 कटोरी बनाये या 1 किलो बिना चखे भी इस नाप से परफेक्ट बनेगा सूजी का हलवा,11172,199,24,0,14
Ghar Grihasti,"साबूदाना भिगोने का सही (परफेक्ट) तरीका With tips - Soak Sago perfectly,Navratri recipes,Vrat recipes",16391,301,20,0,18
Ghar Grihasti,"नवरात्री व्रत में एक बार खाया तो बार बार खाने का मन न करे तो कहना-Navratri recipes,Vrat ke Aloo",87629,1072,96,0,48
Ghar Grihasti,"व्रत वाली आलू की सब्जी Navratri recipes, Vrat recipes, Vrat ke aloo, Vrat ki sabji,Phalahari recipes",23038,362,34,0,38
Ghar Grihasti,"Amazon great indian sale 2018 10-15 october , कौन सी चीजे है सबसे सस्ती क्या खरीदना होगा फायदेमंद",17590,148,27,0,15
Ghar Grihasti,"नवरात्री में 10 मिनट में बनाये पूरे 9दिन खाये Navratri Recipes,Vrat recipes,Phalahari recipes,Farali",17544,405,31,0,34
Ghar Grihasti,नवरात्री | Navratri Special Status | Navratri Whatsapp Status Video | Navratri Whatsapp Status 2018,100321,216,21,0,17
Ghar Grihasti,I Am Back Again...We R 18 Lakh Now... Happy Navratri,10794,467,37,0,125
Ghar Grihasti,"व्रत के पकोड़े Navratri Recipes,Vrat Recipes,Vrat ke Pakode,Singhare ke Pakode,Farali Pakora Recipe",22754,241,19,0,26
Ghar Grihasti,"व्रत के पकोड़े Vrat ka paneer pakoda, Navratri recipes, Vrat recipes, Falahari recipes, Farali Recipe",37592,580,35,0,27
Ghar Grihasti,"Simple Mehndi Design for Beginners, Mehndi designs for hands ,Henna mehndi designs for hands,मेहंदी",179018,479,80,0,25
Ghar Grihasti,"सिर्फ 5 मिनट में बनाये ये व्रत रेसिपी Navratri recipes,Vrat recipes, Singhare ka halwa,Upvas recipes",18734,365,24,0,16
Ghar Grihasti,"Simple Mehndi Design for Beginners, Mehndi designs for hands ,Henna mehndi designs for hands,मेहंदी",92115,227,38,0,23
Ghar Grihasti,How to Lose Weight With apple Cider vinegar | No Diet easy fat lose |Apple Cider Vinegar Weight Loss,14353,334,29,0,53
Ghar Grihasti,"Simple Mehndi Design for Beginners, Mehndi designs for hands ,Henna mehndi designs for hands,मेहंदी",115964,516,94,0,31
Ghar Grihasti,हर लड़की को पता होनी चाहिए पीरियड्स और प्राइवेट पार्ट से जुडी ये बात,25165,254,40,0,50
Ghar Grihasti,"Simple Mehndi Design for Beginners, Mehndi designs for hands ,Henna mehndi designs for hands,मेहंदी",24721,244,22,0,20
