name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ETV Plus India,Patas| 1st December 2018 | Full Episode 937 | ETV Plus,342353,2669,308,0,460
ETV Plus India,Patas | Punch Pataaka | 1st December 2018  | ETV Plus,20135,202,21,0,25
ETV Plus India,Patas | Item Raja | 1st December 2018  | ETV Plus,31728,282,15,0,22
ETV Plus India,Patas | Intro | 1st December 2018  | ETV Plus,12776,95,4,0,12
ETV Plus India,Patas | Chitram Balare Vichitram | 1st December 2018  | ETV Plus,32874,216,17,0,19
ETV Plus India,Patas | Chal Godava | 1st December 2018  | ETV Plus,1862,11,1,0,2
ETV Plus India,Patas | Endaro Mahanubavulu | 1st December 2018  | ETV Plus,99128,564,39,0,34
ETV Plus India,Pove Pora | 7th December 2018 | Latest Promo | ETV Plus,34467,491,15,0,38
ETV Plus India,Patas| 30th November 2018 | Full Episode 936 | ETV Plus,161720,1179,133,0,158
ETV Plus India,Patas | Jinthatha Dialogue War | 30th November 2018  | ETV Plus,1006,14,0,0,4
ETV Plus India,Patas | Little Soldiers | 30th November 2018  | ETV Plus,31507,297,21,0,30
ETV Plus India,Patas | Friday Poster | 30th November 2018  | ETV Plus,59436,655,32,0,78
ETV Plus India,Patas | Punch Pataaka | 30th November 2018  | ETV Plus,90207,647,68,0,47
ETV Plus India,Patas | Intro | 30th November 2018  | ETV Plus,1953,22,2,0,5
ETV Plus India,Pove Pora | 30th November  2018  | Full Episode 72 | ETV Plus,655419,5309,485,0,635
ETV Plus India,Pove Pora | Ayyo Ayyo Ayyayyo Round |  30th November  2018   | ETV Plus,884,7,2,0,6
ETV Plus India,Pove Pora | Chal Maar Round |  30th November  2018   | ETV Plus,3707,37,3,0,2
ETV Plus India,Pove Pora | Laddu Kavala Nayana Round |  30th November  2018   | ETV Plus,3061,25,3,0,5
ETV Plus India,Pove Pora | Intro| 30th November 2018 | ETV Plus,10761,115,5,0,19
ETV Plus India,Student No 1 | 30th November 2018 | Full Episode 30 | ETV Plus,1104,10,6,0,0
ETV Plus India,Express Raja  | 3rd December 2018 | Latest Promo | ETV Plus,4288,74,4,0,15
ETV Plus India,Express Raja | 30th November 2018 | Full Episode 574 | ETV Plus,10648,116,8,0,25
ETV Plus India,Express Raja | Funny Bite 4 | 30th November 2018 | ETV Plus,432,7,0,0,1
ETV Plus India,Express Raja | Funny Bite 3 | 30th November 2018 | ETV Plus,1089,12,2,0,5
ETV Plus India,Express Raja | Funny Bite 2 | 30th November 2018 | ETV Plus,340,3,0,0,0
ETV Plus India,Express Raja | Funny Bite 1 | 30th November 2018 | ETV Plus,1353,16,0,0,4
ETV Plus India,"Nenu Tanu | ""Romance Shopping Kosam"" | Web Episode 56 | ETV Plus",7068,110,16,0,27
ETV Plus India,Patas| 29th November 2018 | Full Episode 935 | ETV Plus,146250,1067,118,0,132
ETV Plus India,Patas | Express Hari & Yadamma Raju Performance | 29th November 2018  | ETV Plus,102824,1037,67,0,71
ETV Plus India,Patas | Punch Pataaka | 29th November 2018  | ETV Plus,34245,247,20,0,13
ETV Plus India,Patas | Jinthatha Dance | 29th November 2018  | ETV Plus,318,1,0,0,2
ETV Plus India,Patas | Intro | 29th November 2018  | ETV Plus,443,8,0,0,1
ETV Plus India,Patas | Bindas Brothers Performance  | 29th November 2018  | ETV Plus,169695,1743,76,0,95
ETV Plus India,Patas | Bullet Bhaskar & Shukla Performance | 29th November 2018  | ETV Plus,88820,922,42,0,61
ETV Plus India,Student No 1 | 29th November 2018 | Full Episode 29 | ETV Plus,2050,19,3,0,6
ETV Plus India,Allare Allari | 29th November 2018 | Full Episode 405 | ETV Plus,1479,18,3,0,5
ETV Plus India,Express Raja | 29th November 2018 | Full Episode 573 | ETV Plus,9747,118,6,0,15
ETV Plus India,Express Raja | Funny Bite 5 | 29th November 2018 | ETV Plus,102,1,0,0,1
ETV Plus India,Express Raja | Funny Bite 4 | 29th November 2018 | ETV Plus,257,3,0,0,0
ETV Plus India,Express Raja | Funny Bite 3 | 29th November 2018 | ETV Plus,4600,64,3,0,8
ETV Plus India,Express Raja | Funny Bite 2 | 29th November 2018 | ETV Plus,438,6,0,0,0
ETV Plus India,Express Raja | Funny Bite 1 | 29th November 2018 | ETV Plus,920,6,0,0,2
ETV Plus India,Express Raja  | 30th November 2018 | Latest Promo | ETV Plus,1870,15,2,0,6
ETV Plus India,Ammai Cute Abbai Naatu | Nuvva Nena | Web Episode 113 | ETV Plus,86152,1381,97,0,476
ETV Plus India,Patas| 28th November 2018 | Full Episode 934 | ETV Plus,160859,892,109,0,101
ETV Plus India,Express Raja | 28th November 2018 | Full Episode 572 | ETV Plus,15953,132,9,0,28
ETV Plus India,Allare Allari | 28th November 2018 | Full Episode 404 | ETV Plus,1953,18,5,0,4
ETV Plus India,Express Raja | Funny Bite 5 | 28th November 2018 | ETV Plus,550,2,0,0,0
ETV Plus India,Express Raja | Funny Bite 4 | 28th November 2018 | ETV Plus,443,10,1,0,2
ETV Plus India,Express Raja | Funny Bite 3 | 28th November 2018 | ETV Plus,215,2,0,0,0
