name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
TLC,Ashley and Jay Face Racist Internet Comments,39890,658,51,0,481
TLC,Steven and Olga Argue Over a Car Seat | 90 Day Fiancé,118165,922,74,0,968
TLC,Mandy Moore Follows Her Ancestor's Journey | Who Do You Think You Are?,6888,170,5,0,25
TLC,Channeling The Holiday Spirit | Long Island Medium: Best of the Holidays,9680,275,15,0,26
TLC,Connecting with a Bride's Deceased Grandfather | Mama Medium,5392,104,20,0,21
TLC,Zoe and Will Show The Grandparents Their New Rooms | The Little Couple,177847,2440,74,0,195
TLC,Leida Wants Tasha To Move Out Immediately | 90 Day Fiancé,205832,1398,175,0,1380
TLC,"""Steven You're Acting Like A Crazy!"" | 90 Day Fiancé",224979,1797,156,0,1535
TLC,Will Does a Sleep Study  | The Little Couple,153848,1873,42,0,139
TLC,John-David and Abbie Get Ready for Their Wedding | Counting On,152607,1119,47,0,176
TLC,"""I Found Her"" | Mama Medium",12032,242,24,0,53
TLC,"""I Need You To Let That Go"" | Long Island Medium",28794,412,29,0,56
TLC,Steven And Olga Have a Spat at the Hospital | 90 Day Fiancé,309682,2225,232,0,2093
TLC,Kalani Yells At Asuelu in the Car | 90 Day Fiancé,267969,2012,246,0,1917
TLC,Fernanda and Jon Fight After The Club | 90 Day Fiancé,237560,1484,113,0,1017
TLC,The Kleins Help Rescue Sea Turtles | The Little Couple,48940,771,15,0,69
TLC,Theresa Reads Actress Annie Potts | Long Island Medium,21075,350,16,0,50
TLC,A Reading With a Woman in a Semi-Vegetative State | Mama Medium,23771,380,61,0,91
TLC,Theresa Reads Actress Barbara Eden | Long Island Medium,19072,264,22,0,52
TLC,Steven Causes Drama At The Hospital | 90 Day Fiancé,200443,1237,84,0,568
TLC,Larissa Goes Couch Shopping With Colt's Mom | 90 Day Fiancé,423520,2404,158,0,1842
TLC,Eric's Dirty Apartment | 90 Day Fiancé,306407,1640,110,0,1169
TLC,Fernanda Found a Thong at Johnathan’s and She Can’t Get Over It | 90 Day Fiancé,105385,686,33,0,178
TLC,Larissa Doesn't Like Colt's House | 90 Day Fiancé,398757,2304,222,0,1874
TLC,Reading a Man Who Lost His Dad | Mama Medium,9537,173,22,0,36
TLC,Theresa Reads A Woman Who's Fiancé Committed Suicide | Long Island Medium,28699,366,26,0,28
TLC,Zoey and Will Help Paint The New House | The Little Couple,86378,972,30,0,213
TLC,Jennie Reads Her Husband | Mama Medium,14026,235,24,0,76
TLC,Larry Caputo Talks About Seeing Theresa in California | Long Island Medium,36761,345,26,0,77
TLC,Asuelu Changes A Diaper For The First Time | 90 Day Fiancé,161466,1274,62,0,359
TLC,Zoey and Will Go For A Swim in Their New Pool  | The Little Couple,360381,3660,83,0,294
TLC,A Bachelorette Party Reading | Long Island Medium,24149,317,17,0,21
TLC,Theresa Reads a Mom Who Lost Her Daughter | Long Island Medium,31276,369,24,0,36
TLC,"Colt, Where Are Larissa's Flowers? | 90 Day Fiancé",372117,2798,203,0,2182
TLC,Asuelu Shows The World His Love For Kalani | 90 Day Fiancé,248054,2971,94,0,1062
TLC,Reina Grills Eric and Leida  | 90 Day Fiancé,233211,885,57,0,505
TLC,Will & Zoey's New House | The Little Couple,95888,1552,19,0,132
TLC,Theresa's Post-Surgery Reading | Long Island Medium,127235,1622,78,0,281
TLC,My Father's Fight | Long Island Medium,22957,352,23,0,34
TLC,Ashley Doesn't Care What Jay Does in Jamaica | 90 Day Fiancé,153052,638,70,0,459
TLC,Tater Tot Casserole | Counting On,96367,826,73,0,313
TLC,Meet Kalani and Asuelu | 90 Day Fiancé,237651,2041,75,0,442
TLC,Zoey and Will Visit The Alligators | The Little Couple,65131,809,22,0,67
TLC,Tornado Country  | Sweet Home Sextuplets,124728,1221,40,0,132
TLC,The Kleins Ponder Building a House on the Beach | The Little Couple,61908,693,24,0,82
TLC,The Six-Month Photo Shoot | Sweet Home Sextuplets,75582,735,28,0,68
TLC,In Memory of Her Son | Long Island Medium,16756,238,13,0,21
TLC,An Impromptu Reading | Long Island Medium,18461,269,19,0,43
TLC,Angela Walks Off Set | 90 Day Fiancé: Before The 90 Days,395514,2761,151,0,1968
TLC,Family Dinner | The Little Couple,352253,3497,93,0,433
