name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Usher,“A” - USHER (TRAILER),98804,3296,285,0,382
Usher,Pepsi 'Black Knight Decoded' (Behind the Scenes),10793,194,7,0,19
Usher,"(Teaser) Usher - Chains by Film The Future ft. Nas, Bibi Bourelly",15829,222,17,0,7
Usher,Barack & Michelle Obama Sing Happy Birthday to Usher!,57110,800,14,0,54
Usher,#CHAINS Usher feat. Nas & Bibi Bourelly - #DontLookAway,20534,115,22,0,5
Usher,Global Citizen Earth Day Intro - WeAre8.com,7106,68,7,0,7
Usher,Support Global Education,7096,125,8,0,2
Usher,"Usher feat. Juicy J ""I Don't Mind"" compilation video #IDontMindVid",191816,2927,974,0,73
Usher,Usher surprises Nico & Vinz at #URXTour Manchester Arena 3/23/15,124216,1002,22,0,37
Usher,"Usher feat. Juicy J ""I Don't Mind"" compilation video #IDontMindVid",27387,429,6,0,15
Usher,Usher #URXTour Ticket Giveaway in Copenhagen,49276,458,4,0,29
Usher,Usher UR Experience Tour in UK #URXTOUR 2015,9346,87,6,0,12
Usher,"Usher #URXTOUR ATL ""Lovers & Friends"" ft. Ludacris, Lil Jon, & Jermaine Dupri",340870,2429,73,0,70
Usher,Usher #URXTOUR Yahoo Screen Live Stream 11/30 Edmonton,59010,287,7,0,17
Usher,"Usher feat. Juicy J - ""I Don't Mind""",3141238,14692,699,0,459
Usher,"Usher, Trey Songz & August Alsina LIVE #URXTOUR Chicago 11/17/14",468033,3686,69,0,148
Usher,The UR Experience - Official Tour Trailer,40490,228,5,0,11
Usher,Usher - SCTGITY Live (Acoustic),208473,1698,35,0,93
Usher,Usher - She Came To Give It To You ft. Nicki Minaj,11286726,64819,2688,0,3682
Usher,The UR Experience: 2014 Tour Promo,23451,237,7,0,23
Usher,"""Good Kisser"" Remix by Disclosure",107463,116,87,0,4
Usher,BET AWARDS,27824,95,10,0,8
Usher,The Transformation Begins!,96368,719,28,0,178
Usher,"Team Usher's Exclusive BTS First Look for ""Numb"" Music Vid",102140,383,8,0,80
Usher,"Usher's ""Climax"" Performances Exposed",118757,751,17,0,64
Usher,'Looking 4 Myself' Countdown - Part 2,45109,159,8,0,23
Usher,'Looking 4 Myself' Countdown - Part 1,29483,108,7,0,15
Usher,"Fuerza Bruta, An Exclusive Look at Usher's Performance",50145,120,9,0,21
Usher,Check Out Usher at The Today Show Summer Concert Series,35121,122,7,0,17
Usher,"Usher ""Climax"" Remix Contest!",66763,251,8,0,68
Usher,Usher on The Insider,71900,234,8,0,28
Usher,20MM Strong on Facebook - Thank You!,706226,2336,41,0,133
Usher,Usher OMG Tour - Pick Me,1500966,2013,170,0,196
Usher,Usher OMG Tour - Fans in OZ,132666,327,10,0,60
Usher,Usher OMG Tour - Europe Wrap-Up,171411,255,8,0,30
Usher,Usher OMG Tour - Meet Marc Marvelous,170372,313,7,0,28
Usher,Usher OMG Tour - UR Bubblin in Dublin,191185,486,13,0,90
Usher,UR Backstage at Grammy Rehearsal - Part 2: The Duo,59200,497,16,0,32
Usher,UR Backstage at Grammy Rehearsal - Part 3: Ch-Chk-Boom,32803,288,5,0,18
Usher,UR Backstage at Grammy Rehearsal - Part 1: The Right Moves,26459,180,2,0,6
Usher,A Day in the Life of Usher,254899,798,20,0,72
Usher,Usher OMG Tour - UR with Fans,59116,119,8,0,37
Usher,UR at Grammy Rehearsal,396198,2555,28,0,316
Usher,Usher OMG Tour - UR in Europe 1st Leg,102004,311,7,0,37
Usher,Usher OMG Tour - UR with David Guetta,122995,210,12,0,29
Usher,Usher OMG Tour - Do You Want More?!,203911,484,22,0,75
Usher,Usher OMG Tour - UR Gettin Ready,66840,161,5,0,36
Usher,Usher OMG Tour - UR in Paris with Akon,112952,181,3,0,15
Usher,"""Be a VIP"" Contest",27770,58,2,0,26
Usher,Usher OMG Tour - UR in Zurich,151450,331,10,0,50
