name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Super Planet Dolan,Why Do Cat Butts Raise When You Pet Them? | Dolan Life Mysteries,415590,11944,634,0,3625
Super Planet Dolan,Can Feathers Tickle BIRDS? | Dolan Life Mysteries,481465,9000,240,0,5618
Super Planet Dolan,What Is The Oldest Planet Ever? | Dolan Life Mysteries,505680,9781,193,0,5867
Super Planet Dolan,The End of Doopie | SPD Episode 1,420963,19825,332,0,6608
Super Planet Dolan,What If The Whole Internet Did A Factory Reset? | Dolan Life Mysteries,315331,8290,152,0,3918
Super Planet Dolan,Why Are Cats Afraid Of Cucumbers? | Dolan Life Mysteries,1878580,29346,2797,0,11710
Super Planet Dolan,Why Do We Get Dizzy When We Spin Fast? | Dolan Life Mysteries,705115,13521,266,0,7041
Super Planet Dolan,What If All Dirt Vanished From Earth? | Dolan Life Mysteries,1425456,18069,515,0,6969
Super Planet Dolan,Can You DIE From Too Much Spicy Food? | Dolan Life Mysteries,1991381,22619,791,0,7168
Super Planet Dolan,PLANET DOLAN IS NOW A GAME: Dolan Kart,285493,6382,144,0,2145
Super Planet Dolan,What If Humans Suddenly Lost All Their BONES? | Dolan Life Mysteries,543167,10463,247,0,5407
Super Planet Dolan,Is It Possible To Cry Without EYES? | Dolan Life Mysteries,1760693,27031,991,0,13235
Super Planet Dolan,Can You Sweat While UNDERWATER? | Dolan Life Mysteries,587811,11747,246,0,6440
Super Planet Dolan,Could Humans Evolve WINGS In The Future? | Dolan Life Mysteries,930398,13357,351,0,6246
Super Planet Dolan,Can Humans Survive Eating Nothing But INSECTS? | Dolan Life Mysteries,784306,12597,357,0,5694
Super Planet Dolan,We Are Space Marines,328816,7166,303,0,2188
Super Planet Dolan,Can A Homeless Child Be Given HOMEWORK? | Dolan Life Mysteries,946450,16597,364,0,7346
Super Planet Dolan,What If Earth Fell Into A Black Hole? | Dolan Life Mysteries,1296734,18402,527,0,7726
Super Planet Dolan,What Would Happen If Wind Suddenly STOPPED? | Dolan Life Mysteries,1852164,22766,606,0,9989
Super Planet Dolan,Is A Turtle Without A Shell NAKED or HOMELESS? | Dolan Life Mysteries,947441,15620,292,0,4590
Super Planet Dolan,What Would Happen If Every Nuke Exploded At Once? | Dolan Life Mysteries,1142362,17506,785,0,6620
Super Planet Dolan,What is a FEMALE Daddy Long Legs Called? | Dolan Life Mysteries,1255239,21063,498,0,7782
Super Planet Dolan,What If The Sun Disappeared For 5 Seconds? | Dolan Life Mysteries,2706179,35939,5822,0,12671
Super Planet Dolan,The Future of Super Planet Dolan?,820012,46440,430,0,12220
Super Planet Dolan,What Would Happen If You Couldn’t Blink For 7 Hours? | Dolan Life Mysteries,1360640,27945,629,0,9210
Super Planet Dolan,Dolan Kart,1257668,28396,559,0,12276
Super Planet Dolan,Do Conjoined Twins Have To Buy Separate Movie Tickets? | Dolan Life Mysteries,3052507,36809,1537,0,14635
Super Planet Dolan,"Is It Possible To Get An ""Anime Nosebleed""? | Dolan Life Mysteries",2827952,42616,1985,0,12579
Super Planet Dolan,What Would Happen If There Were TWO Suns? | Dolan Life Mysteries,1176279,18614,1494,0,8605
Super Planet Dolan,What If The Earth's Rotation Suddenly STOPPED? | Dolan Life Mysteries,1109920,18635,922,0,8070
Super Planet Dolan,Could We Genetically Engineer Human/Animal Hybrids? | Dolan Life Mysteries,877511,17676,462,0,6841
Super Planet Dolan,What If Every Human Disappeared Overnight? | Dolan Life Mysteries,1206433,21093,816,0,7039
Super Planet Dolan,Can You Breathe In AND Out At The Same Time? | Dolan Life Mysteries,1776736,24772,628,0,8072
Super Planet Dolan,Would Earth Be Breathable Without GRAVITY? | Dolan Life Mysteries,1709720,24471,655,0,9856
Super Planet Dolan,Do Only Humans Cry? | Dolan Life Mysteries,1257220,24283,654,0,7940
Super Planet Dolan,What If You Stood In The Hadron Super Collider? | Dolan Life Mysteries,2001989,26876,1037,0,11422
Super Planet Dolan,FRUITS,942480,15775,639,0,4092
Super Planet Dolan,Would You Have A Shadow If You're Invisible? | Dolan Life Mysteries,3055033,34038,1158,0,17273
Super Planet Dolan,What Happens If You're Allergic To Water? | Dolan Life Mysteries,5174020,54793,5070,0,19930
Super Planet Dolan,Can Deaf People Hear Their Own Thoughts? | Dolan Life Mysteries,1964276,31623,851,0,17632
Super Planet Dolan,What If The World Were Square? | Dolan Life Mysteries,3169997,47327,2039,0,14578
Super Planet Dolan,"If We Stacked Everyone On Earth, Could We Reach The Moon? | Dolan Life Mysteries",1676982,27562,683,0,12523
Super Planet Dolan,Is It Possible To Build A City Underwater? | Dolan Life Mysteries,2548704,34724,796,0,15192
Super Planet Dolan,What If The Moon Floated Away From Earth? | Dolan Life Mysteries,1571049,23019,705,0,11041
Super Planet Dolan,What Happened To The Mayans? | Dolan Life Mysteries,1504610,23134,607,0,11922
Super Planet Dolan,What Was The First Ever Fast Food Restaurant? | Dolan Life Mysteries,2017736,30865,619,0,18574
Super Planet Dolan,Is It Possible To Die From Sadness? | Dolan Life Mysteries,3026507,44222,1196,0,24962
Super Planet Dolan,Where Do Snail Shells Come From? | Dolan Life Mysteries,2509173,32747,1091,0,19563
Super Planet Dolan,Are Films Still Shown If Nobody Goes To Them? | Dolan Life Mysteries,2469760,40689,1009,0,20837
Super Planet Dolan,Why Did Kamikaze Pilots Wear Helmets? | Dolan Life Mysteries ft. Slapped Ham,1957525,33777,1730,0,16553
